PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C8	1115237612	9.2018	10.2019	10.2019	354	356	15	1980	BT96	SP411
67	C70	1115435858	12.2018	1.2020	1.2020	354	355	26	2500	BT91	SP524
67	C18	1112388812	2.2017	3.2018	3.2018	354	354	10	15000	BT84	SP293
67	C166	1112993296	6.2017	7.2018	7.2018	354	354	15	20000	BT96	SP512
67	C51	1113209685	7.2017	8.2018	8.2018	354	354	4	2000	BT157	SP10
67	C11	1113523935	9.2017	10.2018	10.2018	354	354	20	10000	BT81	SP513
67	C159	1113570603	10.2017	10.2018	10.2018	354	354	12	275	BT89	SP95
67	C159	1113570603	10.2017	10.2018	10.2018	354	354	12	275	BT89	SP95
67	C95	1114515108	4.2018	4.2019	4.2019	354	354	18	60000	BT9	SP28
67	C158	1114674002	5.2018	5.2019	5.2019	353	353	39	50000	BT84	SP74
67	C27	1115060547	7.2018	8.2019	8.2019	353	353	39	15000	BT38	SP488
67	C100	1115170220	9.2018	9.2019	9.2019	353	353	39	2000	BT230	SP541
67	C107	1115509814	1.2019	2.2020	2.2020	353	359	98	2000	BT8	SP16
67	C107	1115509815	1.2019	2.2020	2.2020	353	367	98	1000	BT8	SP16
67	C107	1115509816	1.2019	2.2020	2.2020	353	366	98	5000	BT8	SP16
67	C107	1115509817	1.2019	2.2020	2.2020	353	353	98	5000	BT13	SP31
67	C107	1115509818	1.2019	2.2020	2.2020	353	353	98	5000	BT13	SP31
67	C107	1115509819	1.2019	2.2020	2.2020	353	353	98	5000	BT13	SP31
67	C159	1112986536	6.2017	6.2018	7.2018	353	358	16	5000	BT30	SP213
67	C159	1112986536	6.2017	6.2018	7.2018	353	358	16	5000	BT30	SP213
67	C159	1112986536	6.2017	6.2018	7.2018	353	358	16	2500	BT30	SP213
67	C159	1112986536	6.2017	6.2018	7.2018	353	358	16	2500	BT30	SP213
67	C107	1113532246	9.2017	10.2018	10.2018	353	353	20	2000	BT159	SP6
