url;date;time;duration;duration (min.);entity;peak live viewers;minutes viewed;unique viewers;video views;10-sec. views;avg. % watch time;followers;people reached;reactions;comments;shares;engagements;description
https://www.facebook.com/Novasports.gr/videos/2158825347465236/;Wednesday, 20 June 2018;20:00;28:20;29;Novasports.gr;122;5.448;4.365;4.549;2.390;00:22;91;19.024;89;157;4;250;Live Now Mundial - Fan Zone Ουρουγουάη-Σ.Αραβία, Τετάρτη 20/6
https://www.facebook.com/Novasports.gr/videos/2158816624132775/;Wednesday, 20 June 2018;17:00;32:05;33;Novasports.gr;132;7.403;5.709;5.730;3.010;00:26;88;20.710;147;188;6;341;Live Now Mundial - Fan Zone, Πορτογαλία-Μαρόκο, Τετάρτη 20/6
https://www.facebook.com/Novasports.gr/videos/2157104344304003/;Tuesday, 19 June 2018;23:00;44:31;45;Novasports.gr;149;10.584;6.959;7.253;3.826;00:29;86;31.437;195;443;6;644;Live Now Mundial - Fan Zone, Ρωσία-Αίγυπτος, Τρίτη 19/6
https://www.facebook.com/Novasports.gr/videos/2157092950971809/;Tuesday, 19 June 2018;20:00;33:43;34;Novasports.gr;117;6.736;4.578;4.606;2.490;00:29;86;19.909;68;182;5;255;Live Now Mundial - Fan Zone, Πολωνία-Σενεγάλη, Τρίτη 19/6
https://www.facebook.com/Novasports.gr/videos/2157079617639809/;Tuesday, 19 June 2018;17:00;33:22;34;Novasports.gr;146;7.596;5.785;5.941;3.094;00:22;83;28.803;125;287;6;418;Live Now Mundial - Fan Zone, Κολομβία-Ιαπωνία, Τρίτη 19/6
https://www.facebook.com/Novasports.gr/videos/2155846364429801/;Monday, 18 June 2018;23:00;35:10;36;Novasports.gr;100;6.214;4.607;4.675;2.453;00:22;95;24.648;64;172;2;238;Live Now Mundial - Fan Zone, Τυνησία-Αγγλία, Δευτέρα 18/6
https://www.facebook.com/Novasports.gr/videos/2155836461097458/;Monday, 18 June 2018;20:00;40:12;41;Novasports.gr;88;6.146;3.720;3.932;2.187;00:29;93;17.810;88;106;1;195;Live Now Mundial - Fan Zone, Βέλγιο-Παναμάς, Δευτέρα 18/6
https://www.facebook.com/Novasports.gr/videos/2155822427765528/;Monday, 18 June 2018;16:55;41:38;42;Novasports.gr;77;5.535;4.082;4.085;2.060;00:21;91;21.735;44;123;2;169;Live Now Mundial - Fan Zone, Σουηδία-Ν. Κορέα, Δευτέρα 18/6
https://www.facebook.com/Novasports.gr/videos/2154822664532171/;Sunday, 17 June 2018;22:55;39:22;40;Novasports.gr;104;8.432;5.937;5.937;3.116;00:26;93;25.367;66;133;3;202;Live Now Mundial - Fan Zone, Βραζιλία-Ελβετία, Κυριακή 17/6
https://www.facebook.com/Novasports.gr/videos/2154511341229970/;Sunday, 17 June 2018;19:55;37:47;38;Novasports.gr;95;6.469;4.227;4.446;2.480;00:26;94;19.376;48;142;2;192;Live Now Mundial - Fan Zone, Γερμανία-Μεξικό, Κυριακή 17/6
